(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0, 0, 0, 0]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.014000000000000002, -0.001, 0, 0]
(0, 1.0, 1, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.038000000000000006, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.04000000000000001, -0.023999999999999994, 0, 0]
(0, 1.0, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.04899999999999999, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0);[-0.05, 0.004999999999999983, 0, 0]
(1, 0.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.0019999999999999797, 0, 0, 0]
(1, 0.0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.046, 0, 0, 0]
(1, 1.0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0);[-0.038000000000000034, 0, 0, 0]
(0, 0.0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.03899999999999997, 0, 0, 0]
(0, 0.0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.05500000000000003, 0, 0, 0]
(0, 1.0, 2, 1, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.05999999999999997, 0, 0, 0]
(0, 1.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.06400000000000006, 0, 0, 0]
(0, 1.0, 1, 1, 3, 1, 1, 1, 3, 1, 0, 1, 2, 0, 0, 1, 2, 0);[-0.06999999999999994, -0.026000000000000068, 0, 0]
(1, 0.0, 2, 1, 3, 1, 2, 1, 3, 1, 0, 0, 2, 0, 0, 0, 3, 0);[-0.06599999999999993, 0, 0, 0]
(1, 0.0, 2, 0, 3, 1, 2, 0, 3, 1, 1, 0, 3, 1, 0, 0, 3, 1);[-0.1, 0, 0, 0]
(1, 1.0, 3, 0, 3, 1, 3, 0, 3, 1, 1, 0, 3, 1, 1, 0, 3, 1);[-0.07599999999999998, 0, 0, 0]
(0, 0.0, 2, 0, 3, 1, 2, 1, 3, 1, 0, 0, 3, 1, 0, 0, 3, 1);[-0.06500000000000004, -0.08499999999999996, 0, 0]
(0, 1.0, 1, 1, 4, 1, 1, 1, 4, 1, 0, 0, 3, 1, 0, 1, 3, 1);[-0.09500000000000011, -0.07199999999999988, 0, 0]
(1, 0.0, 2, 0, 4, 1, 1, 1, 4, 1, 1, 0, 4, 1, 0, 0, 4, 1);[-0.1, 0, 0, 0]
(1, 0.0, 2, 0, 4, 1, 1, 0, 4, 1, 1, 0, 4, 1, 0, 0, 4, 1);[-0.11699999999999999, 0, 0, 0]
(1, 1.0, 3, 0, 4, 1, 2, 0, 4, 1, 2, 0, 4, 1, 0, 0, 4, 1);[-0.10100000000000016, 0, 0, 0]
(0, 0.0, 3, 1, 4, 1, 2, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 1);[-0.07899999999999992, 0, 0, 0]
(0, 0.0, 2, 1, 4, 1, 1, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 1);[-0.09700000000000007, 0, 0, 0]
(0, 1.0, 1, 1, 4, 1, 1, 1, 4, 1, 0, 0, 4, 1, 0, 0, 4, 1);[-0.1129999999999999, 0, 0, 0]
(0, 1.0, 1, 1, 5, 1, 1, 1, 5, 1, 0, 1, 4, 1, 0, 0, 4, 1);[-0.11799999999999998, -0.1080000000000002, 0, 0]
(1, 0.0, 2, 1, 5, 1, 1, 1, 5, 1, 0, 0, 5, 1, 0, 0, 5, 1);[-0.13099999999999987, 0, 0, 0]
(1, 0.0, 2, 0, 5, 1, 1, 0, 5, 1, 1, 0, 5, 1, 0, 0, 5, 1);[-0.14699999999999988, 0, 0, 0]
(1, 1.0, 3, 0, 5, 1, 2, 0, 5, 1, 1, 0, 5, 1, 1, 0, 5, 1);[-0.12600000000000017, 0, 0, 0]
(0, 0.0, 2, 0, 5, 1, 2, 0, 5, 1, 0, 0, 5, 1, 0, 0, 5, 1);[-0.10500000000000008, -0.10999999999999979, -0.13200000000000003, 0]
(0, 1.0, 1, 1, 6, 1, 1, 1, 6, 1, 0, 0, 5, 1, 0, 0, 5, 1);[-0.14199999999999982, -0.13200000000000003, 0, 0]
(1, 0.0, 1, 1, 6, 1, 1, 1, 6, 1, 0, 0, 6, 1, 0, 0, 6, 1);[-0.15000000000000002, -0.08099999999999988, 0, 0]
(1, 0.0, 2, 0, 6, 1, 2, 0, 6, 1, 0, 0, 6, 1, 0, 0, 6, 1);[-0.16199999999999976, 0, 0, 0]
(1, 1.0, 2, 0, 6, 1, 2, 0, 6, 1, 1, 0, 6, 1, 1, 0, 6, 1);[-0.14900000000000022, 0, 0, 0]
(0, 0.0, 2, 0, 6, 1, 2, 0, 6, 1, 0, 0, 6, 1, 0, 0, 6, 1);[-0.13900000000000007, 0, 0, 0]
(0, 0.0, 1, 0, 6, 1, 1, 0, 6, 1, 0, 0, 6, 1, 0, 0, 6, 1);[-0.15499999999999972, 0, 0, 0]
(0, 1.0, 1, 1, 7, 2, 1, 1, 7, 2, 0, 0, 6, 1, 0, 0, 6, 1);[-0.16799999999999998, 0, 0, 0]
(0, 1.0, 1, 1, 7, 2, 1, 1, 7, 2, 0, 0, 7, 1, 0, 0, 7, 1);[-0.18200000000000005, 0, 0, 0]
(0, 1.0, 1, 1, 7, 2, 1, 1, 7, 2, 0, 0, 7, 2, 0, 0, 7, 1);[-0.1980000000000004, 0, 0, 0]
